ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Test
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,D,41
462643,Female,Yes,38,Yes,Engineer,99.0,Average,3.0,Cat_4,A,94
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B,67
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B,0
462669,Female,Yes,40,Yes,Entertainment,99.0,High,6.0,Cat_6,A,32
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,C,4
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,C,62
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,D,16
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,D,91
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,C,95
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,A,77
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,D,11
459573,Male,Yes,70,No,Lawyer,99.0,Low,1.0,Cat_6,A,28
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,B,83
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,C,24
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,D,41
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,B,63
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,B,73
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,C,55
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,A,41
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,D,36
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,A,2
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,B,66
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,C,1
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,A,81
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C,25
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,B,15
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,C,26
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,C,87
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A,68
462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D,46
459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D,0
467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D,69
465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D,94
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D,68
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A,54
467442,Male,Yes,56,Yes,Artist,99.0,Average,2.0,Cat_6,C,66
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B,1
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D,31
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A,49
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A,84
463156,Female,Yes,79,No,Lawyer,99.0,High,2.0,Cat_6,A,37
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B,23
462384,Female,No,29,Yes,Healthcare,99.0,Low,1.0,Cat_7,A,70
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D,2
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A,35
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B,10
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C,72
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A,36
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C,35
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A,97
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B,24
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D,62
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C,59
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C,54
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C,95
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D,33
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A,15
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A,52
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A,16
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A,87
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A,14
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B,81
467208,Female,Yes,39,Yes,Homemaker,99.0,High,2.0,Cat_6,A,7
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D,94
